Entity,Code,Year,Electric cars sold,Non-electric car sales
United States,USA,2011,17800,10452788.0
United States,USA,2012,54000,13116732.0
United States,USA,2013,97000,13011108.0
United States,USA,2014,118000,13140427.0
United States,USA,2015,114000,14501385.0
United States,USA,2016,160000,15840000.0
United States,USA,2017,194000,15972666.0
United States,USA,2018,360000,17640000.0
United States,USA,2019,325000,15151191.0
United States,USA,2020,294000,13069636.0
United States,USA,2021,630000,13370000.0
United States,USA,2022,990000,11867143.0
